Combined_Rank,Neighborhood,Combined_Score,Higher_Ed_Rate_Pct,Green_Space_Count,Education_Score,GreenSpace_Score
1,Central Business District,67.34721438481067,40.35636888995906,10.0,51.361095436288004,83.33333333333334
2,Central Oakland,66.66666666666666,78.5738087304232,4.0,100.0,33.33333333333333
3,East Liberty,56.97026682580905,10.95360824742268,12.0,13.940533651618093,100.0
4,South Oakland,51.140581647762396,47.62711864406779,5.0,60.61449662885812,41.66666666666667
5,North Oakland,50.245666343241524,72.41205014152851,1.0,92.15799935314972,8.333333333333332
6,South Side Flats,43.916194333863196,29.726348709929635,6.0,37.83238866772639,50.0
7,Terrace Village,40.28757637057931,50.21533161068045,2.0,63.908486074491954,16.666666666666664
8,Bluff,40.1744929385781,56.58544108574953,1.0,72.01565254382287,8.333333333333332
9,South Side Slopes,39.881884593285726,16.838709677419356,7.0,21.43043585323812,58.333333333333336
10,Beechview,39.46156001338375,9.63036222029917,8.0,12.256453360100853,66.66666666666666
11,Squirrel Hill South,35.32101707969319,16.219232438464875,6.0,20.642034159386384,50.0
12,Point Breeze,34.505528658256544,8.389894419306183,7.0,10.677723983179751,58.333333333333336
13,Mount Washington,31.318722047529796,9.929721151666287,6.0,12.637444095059596,50.0
14,Squirrel Hill North,31.242333047666634,42.54876462938882,1.0,54.15133276199994,8.333333333333332
15,West Oakland,29.185974037514463,39.31724543849323,1.0,50.03861474169559,8.333333333333332
16,Hazelwood,28.15883171325535,4.9640287769784175,6.0,6.3176634265107,50.0
17,Sheraden,28.10241201724211,4.875366568914956,6.0,6.204824034484216,50.0
18,West End,27.559056539079275,30.21276595744681,2.0,38.45144641149189,16.666666666666664
19,Troy Hill,26.10099137893812,8.277999114652502,5.0,10.535316091209566,41.66666666666667
20,Bloomfield,25.178462509340648,19.92390176409547,3.0,25.3569250186813,25.0
21,South Shore,21.21147865422674,33.33333333333333,0.0,42.42295730845348,0.0
22,Elliott,20.85181578307115,6.576862123613313,4.0,8.37029823280897,33.33333333333333
23,Point Breeze North,20.580563296848283,12.698412698412698,3.0,16.16112659369657,25.0
24,Shadyside,20.389316270867575,32.041324736225086,0.0,40.77863254173515,0.0
25,Brighton Heights,20.266279653019808,5.656706045865184,4.0,7.199225972706285,33.33333333333333
26,Lincoln-Lemington-Belmar,19.36904625760874,10.79454253611557,3.0,13.738092515217481,25.0
27,Marshall-Shadeland,19.156845148819485,3.913256155225828,4.0,4.980356964305644,33.33333333333333
28,Friendship,18.886780679012595,29.680125852123755,0.0,37.77356135802519,0.0
29,Greenfield,18.699663817581904,9.742623979912116,3.0,12.399327635163807,25.0
30,Crawford-Roberts,18.687070104598476,9.7228332600088,3.0,12.37414020919695,25.0
31,Allegheny Center,18.35027898030478,15.741391426563595,2.0,20.033891293942897,16.666666666666664
