Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Homewood South,42,82.0,61.7170964969,11.0,26.9258240357,11.0,26.9258240357,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,71.0,50.6359556046
Homewood West,43,5.0,10.7703296143,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,5.0,10.7703296143
Knoxville,44,1230.0,314.342170254,139.0,79.2401413426,6.0,24.9198715888,0.0,24.4948974278,12.0,27.4954541697,12.0,28.7054001888,0.0,24.4948974278,14.0,27.3130005675,8.0,26.9258240357,9.0,26.9258240357,10.0,26.3818119166,0.0,24.4948974278,9.0,29.0688837075,15.0,27.4954541697,12.0,28.7054001888,0.0,24.4948974278,20.0,29.6984848098,12.0,29.3428015023,1091.0,287.088836425
Larimer,45,174.0,69.8641538988,8.0,17.4928556845,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,8.0,17.4928556845,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,166.0,67.2904153651
Lincoln Place,46,3368.0,455.960524606,599.0,180.308069703,69.0,57.3498038358,0.0,22.360679775,23.0,32.3419232576,12.0,27.5862284483,22.0,29.0688837075,15.0,24.248711306,26.0,27.6224546339,26.0,29.7321374947,60.0,53.7680202351,94.0,64.9692234831,10.0,25.0,56.0,52.4022900263,24.0,27.946377225,53.0,44.2379927212,78.0,42.4028300942,31.0,30.3973683071,2769.0,386.129511952
Lincoln-Lemington-Belmar,47,654.0,153.499185666,208.0,107.884197175,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,20.0,36.6196668472,4.0,23.1516738056,0.0,24.4948974278,20.0,37.4165738678,4.0,23.4307490277,3.0,23.4307490277,3.0,23.1516738056,5.0,24.9198715888,0.0,24.4948974278,109.0,67.4240313241,40.0,37.1618083521,446.0,111.897274319
Lower Lawrenceville,48,1984.0,275.544914669,312.0,150.446003603,0.0,14.1421356237,0.0,14.1421356237,39.0,46.8187996429,0.0,14.1421356237,0.0,14.1421356237,10.0,18.8679622641,0.0,14.1421356237,10.0,18.8679622641,10.0,18.8679622641,0.0,14.1421356237,8.0,15.6204993518,0.0,14.1421356237,38.0,46.8401537145,10.0,17.2046505341,53.0,40.3112887415,134.0,97.1442226795,1672.0,239.726927983
Manchester,49,584.0,172.246915792,63.0,41.2310562562,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,10.0,18.8679622641,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,10.0,18.8679622641,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,29.0,21.2602916255,14.0,19.7230829233,521.0,166.29191201
Marshall-Shadeland,50,3132.0,386.904380952,341.0,148.010134788,26.0,29.0688837075,0.0,22.360679775,6.0,21.9317121995,18.0,28.2842712474,0.0,22.360679775,0.0,22.360679775,20.0,27.946377225,101.0,70.178344238,10.0,25.0,11.0,26.9072480942,18.0,31.2409987036,5.0,21.1896201004,24.0,32.2490309932,4.0,21.1896201004,83.0,74.4983221288,15.0,26.2488094968,2791.0,341.482063951
Middle Hill,51,199.0,116.49463507,47.0,44.3170396123,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,1.0,14.4568322948,0.0,17.3205080757,1.0,14.2828568571,29.0,39.6106046407,16.0,22.1133443875,152.0,109.777046781
