Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Larimer,45,1374.0,263.69300332,349.0,124.715676641,48.0,49.244289009,12.0,22.2710574513,18.0,24.9799919936,30.0,42.2492603486,37.0,31.384709653,10.0,22.9128784748,20.0,32.0780298647,23.0,22.7815714998,32.0,29.5634909982,17.0,22.2710574513,11.0,14.0356688477,22.0,29.7489495612,24.0,26.4575131106,15.0,20.4450483003,30.0,20.2484567313,0.0,20.0,1025.0,186.839503318
Lincoln Place,46,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Lincoln-Lemington-Belmar,47,3716.0,435.586960319,965.0,235.04680385,73.0,56.5508620624,43.0,39.686269666,25.0,35.2845575288,87.0,58.4465567848,46.0,64.9692234832,23.0,29.6984848098,41.0,35.2420203734,50.0,43.520110294,3.0,22.9128784748,78.0,45.022216738,63.0,44.3283205186,30.0,29.9499582637,110.0,75.709972923,24.0,32.4037034921,230.0,106.066017178,39.0,28.0178514522,2751.0,300.341472328
Lower Lawrenceville,48,367.0,108.577161503,108.0,67.1192967782,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,15.6204993518,16.0,26.0,29.0,25.0599281723,15.0,25.079872408,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,8.0,15.6204993518,7.0,15.6204993518,26.0,24.2074368738,0.0,14.1421356237,259.0,77.8973683766
Manchester,49,1279.0,199.724810677,331.0,85.912746435,0.0,14.1421356237,44.0,30.4138126515,0.0,14.1421356237,9.0,19.7230829233,23.0,29.9666481275,9.0,17.2046505341,35.0,29.7321374946,18.0,22.360679775,13.0,18.7882942281,34.0,29.7321374946,0.0,14.1421356237,31.0,31.1448230048,17.0,26.9258240357,17.0,22.803508502,60.0,51.0783711565,21.0,21.8403296678,948.0,166.29191201
Marshall-Shadeland,50,2382.0,489.169704703,548.0,239.862460589,60.0,49.0509938738,8.0,25.0,10.0,22.4053565024,38.0,42.0594816897,42.0,42.0594816897,5.0,21.9317121995,41.0,42.0594816897,43.0,42.0594816897,9.0,21.4941852603,15.0,25.0,6.0,21.9317121995,29.0,30.7896086367,42.0,48.4767985742,63.0,56.789083458,137.0,82.4499848393,0.0,22.360679775,1834.0,324.242193429
Middle Hill,51,1433.0,244.438131232,241.0,103.004854255,6.0,16.7630546143,15.0,16.7332005307,21.0,26.1533936612,0.0,17.3205080757,19.0,32.2645316098,3.0,15.0,12.0,14.5945195193,18.0,32.2645316098,0.0,17.3205080757,13.0,19.7230829233,9.0,17.3205080757,16.0,24.4948974278,14.0,26.1533936612,47.0,43.6806593357,43.0,30.5286750449,5.0,16.2480768092,1192.0,200.55173896
Morningside,52,392.0,142.112631388,132.0,79.0569415042,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,27.0,40.8533964317,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,16.0,30.4138126515,89.0,69.2387174924,0.0,20.0,260.0,118.401858093
Mount Oliver Borough,53,1059.0,354.915482897,291.0,174.051716452,15.0,22.2710574513,40.0,43.2319326424,0.0,20.0,18.0,26.4575131107,0.0,20.0,38.0,49.5983870706,30.0,46.357307946,14.0,24.2487113059,51.0,72.7323861839,0.0,20.0,16.0,25.8456959666,10.0,25.7099202644,0.0,20.0,33.0,42.6614580154,21.0,25.4950975679,5.0,20.5182845286,768.0,222.382553272
Mount Washington,54,881.0,241.84292423,284.0,109.29775844,0.0,29.9999999999,5.0,29.3938769133,29.0,41.2310562561,0.0,29.9999999999,5.0,29.6816441593,13.0,30.0333148353,11.0,30.7245829915,29.0,38.8587184554,15.0,35.8329457344,0.0,29.9999999999,35.0,41.4487635521,0.0,29.9999999999,21.0,35.2278299076,0.0,29.9999999999,89.0,53.0754180389,32.0,46.0868744872,597.0,180.8784122
Mt. Oliver,55,232,135,99,55,4,5,10,15,0,10,0,10,0,10,10,15,0,10,0,10,15,18,15,18,22,24,16,23,4,7,3,5,0,10,0,10,133,87
New Homestead,56,76,50,8,12,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,8,12,0,10,68,43
North Oakland,57,924.0,260.29598537,689.0,230.924229998,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,12.0,29.3428015022,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,19.0,38.2230297072,583.0,196.173392692,75.0,102.829956725,235.0,109.306907376
North Shore,58,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Northview Heights,59,1391,280,555,200,28,25,57,46,25,18,70,53,36,28,27,32,22,35,36,39,33,27,32,37,10,12,9,12,36,39,9,11,108,75,17,27,836,163
Oakwood,60,41,36,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,41,36
Overbrook,61,107.0,59.8163857149,75.0,47.5920161371,0.0,22.360679775,0.0,22.360679775,9.0,20.9045449604,2.0,20.3960780543,0.0,22.360679775,2.0,20.3960780543,0.0,22.360679775,0.0,22.360679775,4.0,21.1896201004,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,12.0,23.3238075794,5.0,21.9317121995,33.0,34.1320963318,8.0,22.825424421,32.0,28.6181760425
Perry North,62,1186.0,282.449995574,265.0,112.902612902,20.0,35.0570962859,12.0,30.0,0.0,24.4948974278,0.0,24.4948974278,9.0,26.9258240357,20.0,35.0570962859,29.0,34.6554469024,58.0,54.7448627727,7.0,24.9198715887,9.0,26.9258240357,16.0,33.5410196625,12.0,24.5356882929,6.0,24.4948974278,20.0,25.5538646784,41.0,38.4187454246,6.0,24.4948974278,921.0,218.281927791
Perry South,63,1986.0,399.457131616,619.0,214.095772962,83.0,63.4428877022,34.0,41.0487515036,28.0,39.8622628559,46.0,44.687805943,51.0,45.8257569496,73.0,59.253691868,0.0,24.4948974278,20.0,28.4604989415,19.0,27.0739727414,4.0,23.7486841741,17.0,33.5410196625,44.0,40.6571027005,37.0,39.4208066888,50.0,45.7165178026,89.0,70.4343666118,24.0,31.4006369362,1367.0,264.639377267
Point Breeze,64,270.0,102.3132445,62.0,52.1152568832,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,6.0,26.8514431642,14.0,32.9241552663,0.0,26.4575131106,42.0,38.729833462,0.0,26.4575131106,208.0,87.6812408671
Point Breeze North,65,672.0,219.00913223,156.0,104.115320679,0.0,17.3205080757,21.0,29.3428015023,0.0,17.3205080757,8.0,22.1133443875,0.0,17.3205080757,0.0,17.3205080757,11.0,22.8910462845,10.0,22.8910462845,0.0,17.3205080757,0.0,17.3205080757,12.0,23.6854385647,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,51.0,50.4975246918,43.0,52.5832673005,516.0,169.141952218
Polish Hill,66,85.0,58.1807528312,11.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,11.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,74.0,52.1536192416
Regent Square,67,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Ridgemont,68,32,31,14,20,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,20,0,10,18,22
Shadyside,69,593.0,219.175728584,165.0,122.784363825,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,1.0,37.6961536499,1.0,37.6961536499,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,1.0,37.6961536499,0.0,37.4165738677,0.0,37.4165738677,27.0,57.6628129734,0.0,37.4165738677,118.0,110.340382453,17.0,44.4522215418,428.0,160.617558193
Sheraden,70,2396.0,586.381275281,892.0,304.691647408,102.0,98.4377976185,0.0,24.4948974278,23.0,33.8526217597,181.0,110.408333019,44.0,66.8505796534,124.0,96.6540221616,105.0,78.9240140895,0.0,24.4948974278,14.0,30.0,0.0,24.4948974278,21.0,28.7228132327,57.0,59.3127305054,37.0,38.7943294826,110.0,88.5211839053,54.0,41.3521462563,20.0,38.2230297072,1504.0,352.966004029
South Oakland,71,360.0,153.521985396,150.0,89.8665677547,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,25.0,28.0178514522,0.0,20.0,45.0,34.205262753,20.0,27.2213151776,0.0,20.0,13.0,28.0000000001,0.0,20.0,11.0,24.9799919936,36.0,38.7943294826,0.0,20.0,210.0,97.0824391948
South Shore,72,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
South Side Flats,73,154.0,79.485847797,26.0,41.5331193147,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,13.0,28.0891438104,13.0,28.0891438104,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,128.0,80.6597793203
South Side Slopes,74,181.0,117.192149908,33.0,42.2492603485,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,33.0,42.2492603485,0.0,26.4575131106,148.0,99.4585340732
Spring Garden,75,99.0,57.008771255,27.0,29.206163733,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,6.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,6.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,7.0,14.8660687473,0.0,14.1421356237,8.0,15.6204993518,0.0,14.1421356237,0.0,14.1421356237,72.0,44.1021541424
Spring Hill-City View,76,717.0,284.580392859,315.0,192.140573539,73.0,82.2253002427,54.0,61.26173357,33.0,57.7581163128,63.0,64.1014820422,20.0,39.6106046407,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,18.547236991,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,10.0,23.6854385646,17.0,20.9045449604,38.0,39.7240481321,0.0,17.3205080757,402.0,140.545366341
Squirrel Hill North,77,612.0,190.197266016,396.0,137.379037703,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,8.0,33.1058907145,0.0,31.6227766016,6.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,14.0,36.6196668472,0.0,31.6227766016,0.0,31.6227766016,6.0,31.6227766016,0.0,31.6227766016,339.0,132.185475754,23.0,37.0675059857,216.0,95.5771939325
Squirrel Hill South,78,301.0,133.940285202,50.0,65.7951365983,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,17.0,42.7200187267,0.0,36.0555127546,16.0,42.7200187267,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,17.0,43.920382512,251.0,116.211014968
St. Clair,79,153,88,45,37,0,10,0,10,21,18,10,14,0,10,0,10,0,10,10,17,0,10,0,10,0,10,0,10,0,10,4,6,0,10,0,10,108,58
Stanton Heights,80,1865.0,289.822359386,444.0,149.338541576,28.0,28.0178514522,49.0,41.7612260356,10.0,20.5182845287,8.0,22.9128784748,50.0,50.8330601085,6.0,20.5182845287,9.0,20.5182845287,14.0,25.7099202644,16.0,25.7099202644,28.0,44.5084261685,8.0,21.0713075057,18.0,33.7786915081,18.0,22.7376340018,32.0,35.8887168898,118.0,63.6945837572,32.0,28.7228132327,1421.0,205.791156273
Strip District,81,59,55,26,40,9,14,8,13,0,10,0,10,0,10,0,10,0,10,9,13,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,33,27
Summer Hill,82,197,113,44,36,9,13,15,17,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,15,18,0,10,0,10,0,10,5,10,0,10,153,86
Swisshelm Park,83,55,49,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,55,49
Terrace Village,84,1160.0,189.457119159,304.0,99.4233373007,41.0,37.6961536499,0.0,17.3205080757,8.0,17.9164728671,3.0,15.3622914957,4.0,15.3622914957,11.0,16.8819430161,7.0,17.3205080757,4.0,16.7630546142,11.0,16.8819430161,22.0,28.7228132327,14.0,19.8997487421,51.0,33.5410196625,14.0,17.9164728671,7.0,17.9164728672,107.0,62.1369455316,0.0,17.3205080757,856.0,146.058207575
Troy Hill,85,322.0,90.7854613911,150.0,21.4709105536,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,49.0,11.6619037897,0.0,14.1421356237,0.0,14.1421356237,50.0,12.2065556157,51.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,172.0,89.4986033411
Upper Hill,86,1403.0,356.311661331,318.0,130.759320892,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,16.0,25.3179778023,7.0,20.6155281281,50.0,58.137767415,23.0,40.5462698654,19.0,26.1533936613,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,20.6155281281,49.0,38.6781592116,85.0,47.8643917751,62.0,63.7573525172,0.0,17.3205080757,1085.0,263.250830958
Upper Lawrenceville,87,305.0,195.788150817,156.0,117.851601601,34.0,48.1248376621,0.0,17.3205080757,0.0,17.3205080757,9.0,27.0,21.0,31.3687742827,30.0,42.4264068712,0.0,17.3205080757,21.0,31.3687742827,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,10.0,21.3541565041,22.0,34.9857113691,0.0,17.3205080757,9.0,20.6155281281,149.0,89.6102672689
West End,88,29,20,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,29,20
West Oakland,89,849.0,141.823834386,223.0,72.7186358508,17.0,20.591260282,0.0,14.1421356237,22.0,35.4400902933,0.0,14.1421356237,7.0,15.6204993518,0.0,14.1421356237,0.0,14.1421356237,11.0,17.2046505341,9.0,15.6204993518,18.0,20.591260282,0.0,14.1421356237,20.0,22.360679775,0.0,14.1421356237,13.0,23.2594066992,82.0,49.6789693935,24.0,29.7321374946,626.0,115.0
Westwood,90,190.0,121.671689394,22.0,35.4400902933,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,10.0,18.0277563773,0.0,14.1421356237,0.0,14.1421356237,12.0,21.4709105536,0.0,14.1421356237,168.0,93.7443331621
Windgap,91,559.0,314.985713962,230.0,181.276032613,49.0,55.9016994375,0.0,14.1421356237,19.0,31.6227766017,5.0,12.8062484749,0.0,14.1421356237,0.0,14.1421356237,26.0,34.4818792991,0.0,14.1421356237,8.0,17.2046505341,10.0,21.4709105536,20.0,31.6227766017,0.0,14.1421356237,4.0,13.4536240471,28.0,35.4400902933,53.0,77.6466354712,8.0,15.6204993518,329.0,165.653252307
